Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Breast cancer,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Alzheimer's disease and other dementias,1,0.69,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Back and neck pain,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other genitourinary diseases,2,1.54,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other malignant neoplasms,2,1.66,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Exposure to forces of nature,0,0.01,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Chlamydia,0,0.06,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Hookworm disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Hypertensive heart disease,10,9.69,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Otitis media,0,0.14,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Schistosomiasis,4,3.55,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Genitourinary diseases,51,50.76,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Colon and rectum cancers,2,2.22,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Cirrhosis of the liver,22,22.43,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Iodine deficiency,0,0.22,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Alcohol use disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other digestive diseases,73,73.37,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Alzheimer's disease and other dementias,1,1.17,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Stomach cancer,2,2.41,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Leukaemia,1,0.65,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Stroke,27,26.77,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Other infectious diseases,25,25.39,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Otitis media,0,0.04,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Intentional injuries,6,6.18,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Trypanosomiasis,8,8.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Childhood-cluster diseases,2,1.93,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Diphtheria,1,0.56,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Schizophrenia,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Cataracts,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Ischaemic heart disease,14,14.01,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Bladder cancer,1,0.61,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Syphilis,2,2.22,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Ischaemic heart disease,217,216.81,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Peptic ulcer disease,12,12.34,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,STDs excluding HIV,1,0.75,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Idiopathic intellectual disability,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Chlamydia,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Maternal conditions,62,61.56,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Acute hepatitis C,1,1.11,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Epilepsy,13,12.87,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Other respiratory diseases,9,8.77,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Whooping cough,0,0.17,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Cleft lip and cleft palate,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Parkinson's disease,0,0.24,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Lower respiratory infections,155,154.97,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Iodine deficiency,0,0.27,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Dengue,0,0.21,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Leprosy,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Pancreas cancer,1,0.87,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Glaucoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Tetanus,0,0.14,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,"Fire, heat and hot substances",12,12.14,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Digestive diseases,115,114.68,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Multiple sclerosis,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Peptic ulcer disease,28,27.71,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,"Endocrine, blood, immune disorders",12,11.69,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Cardiovascular diseases,56,55.83,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Edentulism,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Intestinal nematode infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Parasitic and vector diseases,11,11.36,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other genitourinary diseases,13,13.37,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Urolithiasis,1,0.52,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Other musculoskeletal disorders,2,1.72,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Mental and behavioral disorders,0,0.35,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Otitis media,0,0.13,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Asthma,8,7.73,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Diphtheria,0,0.37,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Rabies,2,1.77,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other genitourinary diseases,5,4.66,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other STDs,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Chronic obstructive pulmonary disease,4,3.96,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Congenital anomalies,23,22.90,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,other sense organ disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Ovary cancer,1,1.02,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,HIV/AIDS,26,26.46,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Other nutritional deficiencies,0,0.17,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Trachoma,0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Measles,0,0.03,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Intestinal nematode infections,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Neurological conditions,10,10.40,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Other neurological conditions,2,1.67,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Tuberculosis,16,16.45,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,"Endocrine, blood, immune disorders",17,17.14,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Maternal conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Non-migraine headache,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Chlamydia,0,0.19,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Drowning,8,8.47,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Lymphatic filariasis,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Refractive errors,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Oral conditions,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Gonorrhoea,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Meningitis,36,36.15,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Otitis media,0,0.08,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Cervix uteri cancer,0,0.00,,,
Deaths per 100 000 population,Published,2000,30-49,Male,Africa Region,Poisonings,6,6.37,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Mouth and oropharynx cancers,1,1.27,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Bipolar disorder,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Macular degeneration,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Tetanus,3,3.40,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Iron-deficiency anaemia,6,6.42,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Oesophagus cancer,4,4.00,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Unipolar depressive disorders,0,0.00,,,
Deaths per 100 000 population,Published,2011,30-49,Female,Africa Region,Other chromosomal anomalies,0,0.02,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Congenital heart anomalies,6,6.08,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Epilepsy,9,8.80,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Other genitourinary diseases,1,0.70,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Breast cancer,60,59.53,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Other neoplasms,9,9.27,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Noncommunicable diseases,66,65.93,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Skin diseases,5,4.55,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Alzheimer's disease and other dementias,2,2.24,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Melanoma and other skin cancers,0,0.00,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Other circulatory diseases,8,8.22,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Eating disorders,0,0.14,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Tuberculosis,111,110.57,,,
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Hypertensive heart disease,54,54.23,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Infertility,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Parkinson's disease,4,4.02,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Intestinal nematode infections,0,0.07,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Acute hepatitis B,10,9.52,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Chagas disease,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,"Trachea, bronchus, lung cancers",0,0.00,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Drug use disorders,1,1.34,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Stroke,58,57.71,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Other infectious diseases,10,9.68,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Gonorrhoea,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Female,Africa Region,Down's syndrome,0,0.26,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Neonatal sepsis and infections,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Self-harm,7,7.45,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Injuries,52,51.94,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Unintentional injuries,62,61.94,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Diabetes mellitus,11,11.47,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Trichomoniasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,50-69,Male,Africa Region,Interpersonal violence,16,16.47,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Appendicitis,2,2.16,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Infectious and parasitic diseases,513,512.72,,,
